Country,AQI Value,Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service,Unnamed: 20,Unnamed: 21,Unnamed: 22
burkina faso,55.04545454545455,SUB-SAHARAN AFRICA                 ,13902972.0,274200.0,"50,7","0,00",0,"97,57",1100,"26,6","7,0","14,43","0,19","85,38",2,"45,62","15,6","0,322","0,196","0,482",,,
burundi,62.214285714285715,SUB-SAHARAN AFRICA                 ,8090068.0,27830.0,"290,7","0,00","-0,06","69,29",600,"51,6","3,4","35,05","14,02","50,93",2,"42,22","13,46","0,463","0,203","0,334",,,
cabo verde,38.0,,,,,,,,,,,,,,,,,,,,,,
cambodia,46.5,ASIA (EX. NEAR EAST)         ,13881427.0,181040.0,"76,7","0,24",0,"71,48",1900,"69,4","2,6","20,96","0,61","78,43",2,"26,9","9,06","0,35","0,3","0,35",,,
cameroon,67.48780487804878,SUB-SAHARAN AFRICA                 ,17340702.0,475440.0,"36,5","0,08",0,"68,26",1800,"79,0","5,7","12,81","2,58","84,61","1,5","33,89","13,47","0,448","0,17","0,382",,,
canada,44.63013698630137,NORTHERN AMERICA                   ,33098932.0,9984670.0,"3,3","2,02","5,96","4,75",29800,"97,0","552,2","4,96","0,02","95,02",,"10,78","7,8","0,022","0,294","0,684",,,
central african republic,62.31578947368421,,,,,,,,,,,,,,,,,,,,,,
chad,80.125,SUB-SAHARAN AFRICA                 ,9944201.0,1284000.0,"7,7","0,00","-0,11","93,82",1200,"47,5","1,3","2,86","0,02","97,12",2,"45,73","16,38","0,335","0,259","0,406",,,
chile,104.8157894736842,LATIN AMER. & CARIB    ,16134219.0,756950.0,"21,3","0,85",0,"8,8",9900,"96,2","213,0","2,65","0,42","96,93",3,"15,23","5,81","0,06","0,493","0,447",,,
china,124.16937354988399,ASIA (EX. NEAR EAST)         ,1313973713.0,9596960.0,"136,9","0,15","-0,4","24,18",5000,"90,9","266,7","15,4","1,25","83,35","1,5","13,25","6,97","0,125","0,473","0,403",,,
colombia,68.36842105263158,LATIN AMER. & CARIB    ,43593035.0,1138910.0,"38,3","0,28","-0,31","20,97",6300,"92,5","176,2","2,42","1,67","95,91",2,"20,48","5,58","0,125","0,342","0,533",,,
comoros,33.0,SUB-SAHARAN AFRICA                 ,690948.0,2170.0,"318,4","15,67",0,"74,93",700,"56,5","24,5","35,87","23,32","40,81",2,"36,93","8,2","0,4","0,04","0,56",,,
congo,78.25,,,,,,,,,,,,,,,,,,,,,,
costa rica,57.10989010989011,LATIN AMER. & CARIB    ,4075261.0,51100.0,"79,8","2,52","0,51","9,95",9100,"96,0","340,7","4,41","5,88","89,71",2,"18,32","4,36","0,088","0,299","0,614",,,
croatia,57.90909090909091,EASTERN EUROPE                     ,4494749.0,56542.0,"79,5","10,32","1,58","6,84",10600,"98,5","420,4","26,09","2,27","71,65",,"9,61","11,48","0,07","0,308","0,622",,,
